;subject;stim;session;block;frame_rate;trial_nb;target;cor_ans;obj_rating;obj_RT;subj_rating;subj_RT
0;S08;A;pre;1;59.86260335887241;94;noise;;['left'];1.0105359999579377;0;1.097
1;S08;A;pre;1;59.86260335887241;46;e;left;['left'];0.5343684999970719;0;0.686
2;S08;A;pre;1;59.86260335887241;45;e;left;['left'];0.6496526999981143;0;0.716
3;S08;A;pre;1;59.86260335887241;21;a;right;['left'];0.5938800000003539;0;0.726
4;S08;A;pre;1;59.86260335887241;30;a;right;['left'];0.40226719999918714;0;0.725
5;S08;A;pre;1;59.86260335887241;72;e;left;['left'];0.3362008999683894;0;1.036
6;S08;A;pre;1;59.86260335887241;79;e;left;['left'];0.6033321000286378;0;0.975
7;S08;A;pre;1;59.86260335887241;54;e;left;['left'];0.9617148000397719;1;1.222
8;S08;A;pre;1;59.86260335887241;41;e;left;['left'];0.4892047000466846;1;2.435
9;S08;A;pre;1;59.86260335887241;98;noise;;['left'];0.8090273999841884;0;1.061
10;S08;A;pre;1;59.86260335887241;16;a;right;['left'];0.38098239997634664;0;0.668
11;S08;A;pre;1;59.86260335887241;10;a;right;['left'];0.235287600022275;0;0.827
12;S08;A;pre;1;59.86260335887241;68;e;left;['left'];0.2211628999793902;1;1.513
13;S08;A;pre;1;59.86260335887241;87;noise;;['right'];0.2942099000210874;0;0.691
14;S08;A;pre;1;59.86260335887241;77;e;left;['left'];0.23908229998778552;1;0.872
15;S08;A;pre;1;59.86260335887241;24;a;right;['left'];0.2100324000348337;0;1.905
16;S08;A;pre;1;59.86260335887241;95;noise;;['left'];0.45530249999137595;0;1.011
17;S08;A;pre;1;59.86260335887241;66;e;left;['left'];0.15845719998469576;1;2.558
18;S08;A;pre;1;59.86260335887241;84;noise;;['left'];0.19710019999183714;0;0.653
19;S08;A;pre;1;59.86260335887241;23;a;right;['right'];0.6330689999740571;0;1.288
20;S08;A;pre;1;59.86260335887241;76;e;left;['right'];0.15750909998314455;1;2.02
21;S08;A;pre;1;59.86260335887241;14;a;right;['right'];0.1653465999988839;0;0.807
22;S08;A;pre;1;59.86260335887241;97;noise;;['left'];4.230273900029715;0;1.051
23;S08;A;pre;1;59.86260335887241;18;a;right;['right'];0.29635960003361106;1;1.053
24;S08;A;pre;1;59.86260335887241;65;e;left;['right'];0.15755750000244007;1;0.94
25;S08;A;pre;1;59.86260335887241;62;e;left;['right'];0.14679460000479594;1;0.867
26;S08;A;pre;1;59.86260335887241;25;a;right;['right'];0.11961619998328388;1;1.313
27;S08;A;pre;1;59.86260335887241;4;a;right;['right'];0.1680171000189148;1;1.037
28;S08;A;pre;1;59.86260335887241;48;e;left;['right'];0.23649149999255314;1;0.724
29;S08;A;pre;1;59.86260335887241;81;noise;;['left'];0.8730586999445222;0;1.04
30;S08;A;pre;1;59.86260335887241;82;noise;;['left'];1.180066299973987;0;1.009
31;S08;A;pre;1;59.86260335887241;85;noise;;['left'];0.4557314999983646;0;0.685
32;S08;A;pre;1;59.86260335887241;5;a;right;['right'];0.17000990000087768;1;1.059
33;S08;A;pre;1;59.86260335887241;86;noise;;['right'];0.1623317999765277;0;1.455
34;S08;A;pre;1;59.86260335887241;15;a;right;['right'];0.1603010999970138;1;0.62
35;S08;A;pre;1;59.86260335887241;64;e;left;['right'];0.11188499996205792;1;0.628
36;S08;A;pre;1;59.86260335887241;49;e;left;['right'];0.345704699982889;1;1.795
37;S08;A;pre;1;59.86260335887241;28;a;right;['right'];0.13243810000130907;1;2.531
38;S08;A;pre;1;59.86260335887241;99;noise;;['right'];0.14783129998249933;0;0.625
39;S08;A;pre;1;59.86260335887241;35;a;right;['right'];0.13192180002806708;1;0.802
40;S08;A;pre;1;59.86260335887241;78;e;left;['right'];0.14037480001570657;1;0.774
41;S08;A;pre;1;59.86260335887241;7;a;right;['right'];0.15309760003583506;1;1.161
42;S08;A;pre;1;59.86260335887241;27;a;right;['right'];0.17817630001809448;1;0.595
43;S08;A;pre;1;59.86260335887241;91;noise;;['right'];0.16015140002127737;0;0.614
44;S08;A;pre;1;59.86260335887241;63;e;left;['left'];0.13544119999278337;1;0.829
45;S08;A;pre;1;59.86260335887241;22;a;right;['left'];0.12546970002586022;1;1.506
46;S08;A;pre;1;59.86260335887241;69;e;left;['left'];0.16110500000650063;1;0.784
47;S08;A;pre;1;59.86260335887241;53;e;left;['left'];0.14385569997830316;1;0.652
48;S08;A;pre;1;59.86260335887241;60;e;left;['right'];0.19176599994534627;1;0.872
49;S08;A;pre;1;59.86260335887241;88;noise;;['left'];0.19890039996244013;0;3.054
50;S08;A;pre;1;59.86260335887241;26;a;right;['left'];0.0753573999973014;1;0.839
51;S08;A;pre;1;59.86260335887241;0;a;right;['left'];0.21384719997877255;0;2.25
52;S08;A;pre;1;59.86260335887241;73;e;left;['left'];0.30109150003409013;1;0.811
53;S08;A;pre;1;59.86260335887241;51;e;left;['left'];0.1532034000265412;1;1.558
54;S08;A;pre;1;59.86260335887241;39;a;right;['left'];0.1322972000343725;1;2.566
55;S08;A;pre;1;59.86260335887241;57;e;left;['left'];0.12881059997016564;1;0.783
56;S08;A;pre;1;59.86260335887241;8;a;right;['left'];0.1715027999598533;1;0.988
57;S08;A;pre;1;59.86260335887241;37;a;right;['right'];0.47833280003396794;1;0.678
58;S08;A;pre;1;59.86260335887241;80;noise;;['left'];0.9314534000004642;0;0.794
59;S08;A;pre;1;59.86260335887241;92;noise;;['left'];1.273514400003478;0;0.697
60;S08;A;pre;1;59.86260335887241;74;e;left;['right'];0.19804930000100285;1;2.165
61;S08;A;pre;1;59.86260335887241;42;e;left;['right'];0.5056013999856077;1;6.074
62;S08;A;pre;1;59.86260335887241;44;e;left;['right'];0.14219879999291152;1;0.744
63;S08;A;pre;1;59.86260335887241;43;e;left;['right'];0.2033928000018932;1;0.934
64;S08;A;pre;1;59.86260335887241;71;e;left;['right'];0.16041860001860186;1;0.855
65;S08;A;pre;1;59.86260335887241;75;e;left;['right'];0.1369772999896668;1;0.831
66;S08;A;pre;1;59.86260335887241;33;a;right;['right'];0.1319736000150442;1;4.581
67;S08;A;pre;1;59.86260335887241;9;a;right;['right'];0.1304713999852538;1;1.121
68;S08;A;pre;1;59.86260335887241;12;a;right;['right'];0.13672419998329133;1;1.074
69;S08;A;pre;1;59.86260335887241;34;a;right;['right'];0.1690509999752976;1;0.857
70;S08;A;pre;1;59.86260335887241;61;e;left;['right'];0.13760479999473318;1;0.591
71;S08;A;pre;1;59.86260335887241;83;noise;;['right'];0.9161995999747887;0;0.56
72;S08;A;pre;1;59.86260335887241;6;a;right;['right'];0.1594150000018999;1;5.093
73;S08;A;pre;1;59.86260335887241;31;a;right;['right'];0.13624560000607744;1;0.804
74;S08;A;pre;1;59.86260335887241;52;e;left;['right'];0.16710700001567602;1;0.904
75;S08;A;pre;1;59.86260335887241;19;a;right;['right'];0.16807820001849905;1;0.796
76;S08;A;pre;1;59.86260335887241;56;e;left;['left'];0.8332862000097521;1;1.16
77;S08;A;pre;1;59.86260335887241;50;e;left;['right'];0.19734969997080043;0;0.843
78;S08;A;pre;1;59.86260335887241;93;noise;;['right'];0.1819656000006944;0;0.757
79;S08;A;pre;1;59.86260335887241;17;a;right;['right'];0.5692404999863356;1;3.514
80;S08;A;pre;1;59.86260335887241;1;a;right;['right'];0.146829399978742;1;0.724
81;S08;A;pre;1;59.86260335887241;20;a;right;['right'];0.17228250001790002;1;0.967
82;S08;A;pre;1;59.86260335887241;67;e;left;['left'];0.18087500002002344;1;0.612
83;S08;A;pre;1;59.86260335887241;11;a;right;['left'];0.157001500017941;1;0.823
84;S08;A;pre;1;59.86260335887241;58;e;left;['left'];0.15667459997348487;1;0.79
85;S08;A;pre;1;59.86260335887241;70;e;left;['left'];0.793090499995742;1;0.734
86;S08;A;pre;1;59.86260335887241;32;a;right;['left'];0.22471880004741251;1;1.03
87;S08;A;pre;1;59.86260335887241;29;a;right;['right'];0.3223983999923803;1;0.696
88;S08;A;pre;1;59.86260335887241;55;e;left;['left'];0.1427593000116758;1;0.626
89;S08;A;pre;1;59.86260335887241;38;a;right;['left'];0.17740870005218312;1;0.94
90;S08;A;pre;1;59.86260335887241;40;e;left;['right'];0.18792820000089705;1;0.975
91;S08;A;pre;1;59.86260335887241;47;e;left;['left'];0.4706037000287324;1;0.717
92;S08;A;pre;1;59.86260335887241;36;a;right;['right'];0.24886819999665022;1;1.032
93;S08;A;pre;1;59.86260335887241;59;e;left;['left'];0.826708700042218;1;0.902
94;S08;A;pre;1;59.86260335887241;89;noise;;['right'];0.3048197999596596;0;2.46
