;subject;stim;session;block;frame_rate;frame_int;trial_nb;SOA;real_SOA;target;mask;position;cor_ans;obj_rating;obj_RT;subj_rating;subj_RT;trial_duration;trigger
46;S09;A;pre;1;59.9724246790481;[0.007238199999846984, 0.016688800000338233, 0.01682230000005802, 0.01660699999956705];58;3;0.050118099999963306;3.tif;mask.tiff;-0.14;left;['left'];0.24946510000063427;1;0.8;2.932921399999941;52
47;S09;A;pre;1;59.9724246790481;[0.012930599999890546, 0.016359899999770278, 0.01681060000009893, 0.016796700000668352];35;5;0.04996720000053756;3.tif;mask.tiff;0.14;left;['right'];0.527399499999774;1;0.945;3.3443131999993057;85
48;S09;A;pre;1;59.9724246790481;[0.0026482000002943096, 0.01724930000000313, 0.016010399999686342, 0.016590500000347674];48;2;0.04985020000003715;2.tif;mask.tiff;-0.14;left;['left'];0.36956629999986035;1;0.801;3.0528650000005655;34
49;S09;A;pre;1;59.9724246790481;[0.004005100000540551, 0.016174999999748252, 0.017200700000103097, 0.016548900000088906];26;4;0.049924599999940256;3.tif;mask.tiff;-0.14;left;['left'];0.6701267999997071;1;0.85;3.4030736000004254;68
50;S09;A;pre;1;59.9724246790481;[0.01638109999930748, 0.016736999999920954, 0.016046100000494334, 0.017636700000366545];65;4;0.050419800000781834;2.tif;mask.tiff;0.14;left;['left'];0.4155060000002777;1;0.833;3.1484821999993073;67
51;S09;A;pre;1;59.9724246790481;[0.016172599999663362, 0.016551200000321842, 0.016479799999615352, 0.01659170000039012];15;2;0.04962270000032731;8.tif;mask.tiff;0.14;right;['right'];0.3391203000001042;1;0.823;3.055284400000346;41
52;S09;A;pre;1;59.9724246790481;[0.00857339999947726, 0.016560100000788225, 0.016725599999517726, 0.016500300000188872];83;2;0.04978600000049482;blank.tiff;mask.tiff;0.14;a;['right'];0.7534209999994346;0;1.039;3.6693451000001005;33
53;S09;A;pre;1;59.9724246790481;[0.011076499999944645, 0.016843299999891315, 0.016253700000561366, 0.016875100000106613];84;3;0.049972100000559294;blank.tiff;mask.tiff;-0.14;a;['right'];0.43813570000020263;0;0.888;3.2047496000004685;48
54;S09;A;pre;1;59.9724246790481;[0.003082900000663358, 0.01661329999933514, 0.016561800000090443, 0.01656230000025971];21;3;0.049737399999685294;7.tif;mask.tiff;0.14;right;['right'];0.4366775999997117;1;0.753;3.0700430000006236;55
55;S09;A;pre;1;59.9724246790481;[0.008137699999679171, 0.01693390000036743, 0.01655690000006871, 0.016618300000118325];88;5;0.05010910000055446;blank.tiff;mask.tiff;-0.14;a;['left'];4.967436000000816;0;1.055;7.900398700000551;80
