;subject;stim;session;block;frame_rate;frame_int;trial_nb;SOA;real_SOA;target;mask;position;cor_ans;obj_rating;obj_RT;subj_rating;subj_RT;trial_duration;trigger
0;S06;A;pre;1;59.695077544482615;[0.01437889999942854, 0.016840899999806425, 0.01727989999926649, 0.015954800001054537];46;1;0.05007560000012745;8.tif;mask.tiff;-0.14;right;['left'];1.4169147000029625;0;1.952;5.228045200001361;24
1;S06;A;pre;1;59.695077544482615;[0.01639479999721516, 0.017095200000767363, 0.016741600000386825, 0.017065700001694495];2;1;0.05090250000284868;3.tif;mask.tiff;-0.14;left;['left'];1.8093196000008902;0;1.055;4.70853150000039;20
2;S06;A;pre;1;59.695077544482615;[0.015792800000781426, 0.017295399997237837, 0.016334600000845967, 0.016747000001487322];56;3;0.050376999999571126;2.tif;mask.tiff;-0.14;left;['left'];0.3108213000014075;0;1.042;3.1944459000005736;50
3;S06;A;pre;1;59.695077544482615;[0.017295800000283634, 0.016272000000753906, 0.01676940000106697, 0.017861799999081995];76;5;0.05090320000090287;7.tif;mask.tiff;-0.14;right;['right'];0.7838965000009921;0;0.904;3.533617700002651;86
4;S06;A;pre;1;59.695077544482615;[0.01537800000005518, 0.0163970999965386, 0.016545400001632515, 0.016697600000043167];83;2;0.04964009999821428;blank.tiff;mask.tiff;0.14;a;['right'];0.8816286999972363;0;0.756;3.4815420000013546;33
5;S06;A;pre;1;59.695077544482615;[0.01640430000043125, 0.016695400001481175, 0.01700669999991078, 0.01622499999939464];52;2;0.049927100000786595;7.tif;mask.tiff;-0.14;right;['left'];2.725743599999987;0;0.808;5.375604500000918;38
6;S06;A;pre;1;59.695077544482615;[0.01705279999805498, 0.016712200002075406, 0.016790899997431552, 0.01609230000030948];97;4;0.049595399999816436;blank.tiff;mask.tiff;0.14;a;['left'];0.8890181999995548;0;0.834;3.5558020999997098;65
7;S06;A;pre;1;59.695077544482615;[0.016255800001090392, 0.017665399998804787, 0.016006300000299234, 0.017245099999854574];86;4;0.050916799998958595;blank.tiff;mask.tiff;-0.14;a;['right'];0.7492018999982974;0;1.043;3.631256000000576;64
8;S06;A;pre;1;59.695077544482615;[0.016719799998099916, 0.01699200000075507, 0.01700889999847277, 0.01605340000241995];96;4;0.05005430000164779;blank.tiff;mask.tiff;-0.14;a;['left'];0.6632011000001512;0;1.032;3.5292965000007825;64
9;S06;A;pre;1;59.695077544482615;[0.017051100003300235, 0.016424399997049477, 0.017602100000658538, 0.015635399999155197];37;5;0.04966189999686321;7.tif;mask.tiff;0.14;right;['right'];0.643667699998332;0;1.019;3.4937200999993365;87
10;S06;A;pre;1;59.695077544482615;[0.016765899999882095, 0.017333800002234057, 0.016495199997734744, 0.016455900000437396];22;3;0.050284900000406196;8.tif;mask.tiff;-0.14;right;['right'];1.1320403999998234;0;1.228;4.197011299998849;56
11;S06;A;pre;1;59.695077544482615;[0.016930099998717196, 0.01644230000238167, 0.016901200000575045, 0.016892399999051122];44;1;0.05023590000200784;7.tif;mask.tiff;-0.14;right;['right'];1.1604662999998254;0;1.51;4.510277900000801;22
12;S06;A;pre;1;59.695077544482615;[0.01664130000062869, 0.016985399997793138, 0.017540199998620665, 0.015188900000794092];58;3;0.049714499997207895;3.tif;mask.tiff;-0.14;left;['left'];0.31212719999894034;0;1.114;3.261598099998082;52
13;S06;A;pre;1;59.695077544482615;[0.01579680000213557, 0.016809599997941405, 0.01692630000252393, 0.015890599999693222];32;5;0.04962650000015856;2.tif;mask.tiff;-0.14;left;['left'];0.5297578000026988;0;1.073;3.4457053000005544;82
14;S06;A;pre;1;59.695077544482615;[0.018493299998226576, 0.01698730000134674, 0.015901599999779137, 0.01700889999847277];84;3;0.04989779999959865;blank.tiff;mask.tiff;-0.14;a;['left'];0.28973020000194083;0;1.238;3.38943940000172;48
15;S06;A;pre;1;59.695077544482615;[0.016262599998299265, 0.017097100000682985, 0.01629780000075698, 0.016843000001244945];88;5;0.05023790000268491;blank.tiff;mask.tiff;-0.14;a;['left'];1.0195147000013094;0;1.279;4.135736500000348;80
16;S06;A;pre;1;59.695077544482615;[0.01908279999770457, 0.015758500001538778, 0.016823999998450745, 0.016548600000533042];30;4;0.049131100000522565;8.tif;mask.tiff;-0.14;right;['right'];0.3398727999992843;1;2.173;4.372668899999553;72
17;S06;A;pre;1;59.695077544482615;[0.016839100000652252, 0.01624660000015865, 0.016644899998937035, 0.016944999999395804];45;1;0.04983649999849149;7.tif;mask.tiff;0.14;right;['left'];0.575306400001864;0;1.02;3.4239539000009245;23
18;S06;A;pre;1;59.695077544482615;[0.016279100000247126, 0.016555999998672633, 0.017082499998650746, 0.016695700000127545];27;4;0.050334199997450924;3.tif;mask.tiff;0.14;left;['left'];0.6878257999997004;0;1.43;3.9535780000005616;69
19;S06;A;pre;1;59.695077544482615;[0.0160823000005621, 0.01699910000024829, 0.016400599997723475, 0.017073600000003353];60;3;0.05047329999797512;7.tif;mask.tiff;-0.14;right;['right'];0.22350060000098892;1;1.129;3.1894763999989664;54
20;S06;A;pre;1;59.695077544482615;[0.01681059999827994, 0.01659289999952307, 0.01707660000101896, 0.017063300001609605];90;1;0.050732800002151635;blank.tiff;mask.tiff;-0.14;a;['left'];0.7817623000009917;0;1.043;3.664667900000495;16
21;S06;A;pre;1;59.695077544482615;[0.01682489999802783, 0.021694300001399824, 0.011972199998126598, 0.016714400000637397];73;5;0.05038090000016382;2.tif;mask.tiff;0.14;left;['left'];0.4109284000005573;0;0.716;2.9600419999987935;83
22;S06;A;pre;1;59.695077544482615;[0.016703400000551483, 0.016891200000827666, 0.01653449999867007, 0.016170099999726517];8;2;0.049595799999224255;2.tif;mask.tiff;-0.14;left;['left'];0.2650362000022142;0;0.634;2.7321812999980466;34
23;S06;A;pre;1;59.695077544482615;[0.01684709999972256, 0.016678100000717677, 0.01666320000003907, 0.016848799998115283];21;3;0.05019009999887203;7.tif;mask.tiff;0.14;right;['left'];0.37317759999859845;0;0.822;3.0398320000022068;55
24;S06;A;pre;1;59.695077544482615;[0.016761099999712314, 0.01648390000264044, 0.01675759999852744, 0.016903899999306304];36;5;0.05014540000047418;7.tif;mask.tiff;-0.14;right;['right'];0.25289199999679113;0;0.823;2.9218750999971235;86
25;S06;A;pre;1;59.695077544482615;[0.01672100000359933, 0.017339799996989314, 0.016750500002672197, 0.01614299999710056];41;1;0.05023329999676207;2.tif;mask.tiff;0.14;left;['left'];0.1984918000016478;0;0.978;3.0152033000013034;19
26;S06;A;pre;1;59.695077544482615;[0.01563959999839426, 0.01629980000143405, 0.017053499999747146, 0.017583999997441424];89;5;0.05093729999862262;blank.tiff;mask.tiff;0.14;a;['left'];0.27267639999990934;0;0.943;3.0553618999983883;81
27;S06;A;pre;1;59.695077544482615;[0.016224499999225372, 0.01700140000320971, 0.016889499998796964, 0.016373099999327678];67;4;0.05026400000133435;3.tif;mask.tiff;0.14;left;['left'];0.31795620000048075;0;0.828;2.9832687999987684;69
28;S06;A;pre;1;59.695077544482615;[0.01623680000193417, 0.01670880000165198, 0.017780299996957183, 0.016093500002170913];91;1;0.050582600000780076;blank.tiff;mask.tiff;0.14;a;['left'];0.1865432000013243;0;0.901;2.938005500000145;17
29;S06;A;pre;1;59.695077544482615;[0.016361099998903228, 0.017497000000730623, 0.01643039999908069, 0.016035200002079364];70;4;0.04996260000189068;8.tif;mask.tiff;-0.14;right;['right'];0.24118369999996503;0;0.923;3.0068060999983572;72
30;S06;A;pre;1;59.695077544482615;[0.017295599998760736, 0.01592270000037388, 0.017426900001737522, 0.016262299999652896];0;1;0.0496119000017643;2.tif;mask.tiff;-0.14;left;['left'];0.2168134999992617;0;0.762;2.8164992000019993;18
31;S06;A;pre;1;59.695077544482615;[0.017435699999623466, 0.01643260000128066, 0.016743500000302447, 0.017517999996925937];35;5;0.050694099998509046;3.tif;mask.tiff;0.14;left;['right'];0.25465489999987767;0;0.71;2.804728700000851;85
