;subject;stim;session;block;frame_rate;frame_int;trial_nb;SOA;real_SOA;target;mask;position;cor_ans;obj_rating;obj_RT;subj_rating;subj_RT;trial_duration;trigger
0;S08;A;pre;1;60.11924049270635;[0.015297000005375594, 0.01644139998825267, 0.016876299981959164, 0.016046600008849055];69;4;0.04936429997906089;7.tif;mask.tiff;0.14;right;['right'];0.6255300000193529;1;1.997;4.4819380000117235;71
1;S08;A;pre;1;60.11924049270635;[0.0162014999659732, 0.01692150003509596, 0.017182999989017844, 0.01606940000783652];3;1;0.050173900031950325;3.tif;mask.tiff;0.14;left;['left'];0.16504549997625872;1;1.052;3.065315300016664;21
2;S08;A;pre;1;60.11924049270635;[0.01623270002892241, 0.017348799970932305, 0.016153200005646795, 0.01659860002109781];16;3;0.05010059999767691;2.tif;mask.tiff;-0.14;left;['left'];0.17442799999844283;1;0.812;2.8244877999532036;50
3;S08;A;pre;1;60.11924049270635;[0.01411669998196885, 0.016415800026152283, 0.01669039996340871, 0.01688880001893267];87;4;0.04999500000849366;blank.tiff;mask.tiff;0.14;a;['right'];0.31295970000792295;0;0.815;2.9626805000007153;65
4;S08;A;pre;1;60.11924049270635;[0.015583100030198693, 0.016800899989902973, 0.015508999989833683, 0.01658520003547892];61;3;0.048895100015215576;7.tif;mask.tiff;0.14;right;['right'];0.182357800018508;0;0.943;2.9654416000121273;55
5;S08;A;pre;1;60.11924049270635;[0.015340899990405887, 0.016810000000987202, 0.01636160002090037, 0.01694669999415055];58;3;0.05011830001603812;3.tif;mask.tiff;-0.14;left;['left'];0.15629119996447116;0;0.879;2.8723233999917284;52
6;S08;A;pre;1;60.11924049270635;[0.014264299999922514, 0.016577400034293532, 0.016961999994236976, 0.017111799970734864];34;5;0.05065119999926537;3.tif;mask.tiff;-0.14;left;['left'];0.1979851999785751;0;0.787;2.8317197000142187;84
7;S08;A;pre;1;60.11924049270635;[0.016462800034787506, 0.01583839999511838, 0.017577199963852763, 0.017218100023455918];39;5;0.05063369998242706;8.tif;mask.tiff;0.14;right;['right'];0.1533147000009194;1;1.33;3.320235799998045;89
8;S08;A;pre;1;60.11924049270635;[0.016752899973653257, 0.016696700011380017, 0.016584199969656765, 0.016864700010046363];21;3;0.050145599991083145;7.tif;mask.tiff;0.14;right;['right'];0.3858087000553496;0;0.891;3.119475799961947;55
9;S08;A;pre;1;60.11924049270635;[0.01582209998741746, 0.01663410000037402, 0.016789000015705824, 0.017299600003752857];65;4;0.0507227000198327;2.tif;mask.tiff;0.14;left;['left'];0.36123520002001897;1;0.808;3.0117852999828756;67
10;S08;A;pre;1;60.11924049270635;[0.016560400021262467, 0.01589630002854392, 0.01756119995843619, 0.01564880000660196];17;3;0.04910629999358207;2.tif;mask.tiff;0.14;left;['left'];0.17298899998422712;1;1.0;3.005268100008834;51
11;S08;A;pre;1;60.11924049270635;[0.016818500007502735, 0.016295699984766543, 0.01663379999808967, 0.017270200012717396];81;1;0.05019969999557361;blank.tiff;mask.tiff;0.14;a;['right'];0.18820870004128665;0;0.828;2.8564964000252075;17
12;S08;A;pre;1;60.11924049270635;[0.015959500044118613, 0.016910100006498396, 0.01626509998459369, 0.017165499972179532];32;5;0.05034069996327162;2.tif;mask.tiff;-0.14;left;['left'];0.13119189999997616;1;0.852;2.8310350999818183;82
13;S08;A;pre;1;60.11924049270635;[0.016347500029951334, 0.017415899957995862, 0.016633699997328222, 0.016194400028325617];70;4;0.0502439999836497;8.tif;mask.tiff;-0.14;right;['right'];0.15584630001103505;1;0.873;2.8722012999933213;72
14;S08;A;pre;1;60.11924049270635;[0.01606190000893548, 0.01732290000654757, 0.016330799960996956, 0.016653900034725666];98;5;0.05030760000227019;blank.tiff;mask.tiff;-0.14;a;['left'];0.18119910004315898;0;0.83;2.8478110000141896;80
15;S08;A;pre;1;60.11924049270635;[0.01601050002500415, 0.016725299996323884, 0.01685600000200793, 0.016620300011709332];74;5;0.05020160001004115;3.tif;mask.tiff;-0.14;left;['right'];0.15857859997777268;0;1.014;3.0071855999995023;84
16;S08;A;pre;1;60.11924049270635;[0.016489800007548183, 0.0175166999688372, 0.017446400015614927, 0.01585620001424104];19;3;0.05081929999869317;3.tif;mask.tiff;0.14;left;['left'];0.17753089999314398;1;0.767;2.7784344000392593;53
17;S08;A;pre;1;60.11924049270635;[0.013658399984706193, 0.017055800009984523, 0.016730699979234487, 0.016141300031449646];30;4;0.049927800020668656;8.tif;mask.tiff;-0.14;right;['right'];0.15921349998097867;1;0.944;2.941896500007715;72
18;S08;A;pre;1;60.11924049270635;[0.016666200011968613, 0.017252299992833287, 0.016412600001785904, 0.016841100004967302];88;5;0.05050599999958649;blank.tiff;mask.tiff;-0.14;a;['right'];0.170088000013493;0;1.33;3.3376481999875978;80
19;S08;A;pre;1;60.11924049270635;[0.016605600016191602, 0.017650699999649078, 0.01668430003337562, 0.016194399970117956];31;4;0.050529400003142655;8.tif;mask.tiff;0.14;right;['right'];0.19844919996103272;1;0.808;2.8487906000227667;73
20;S08;A;pre;1;60.11924049270635;[0.01613790000556037, 0.01653490000171587, 0.017489899997599423, 0.01562209997791797];52;2;0.04964689997723326;7.tif;mask.tiff;-0.14;right;['right'];0.1505349999642931;1;1.197;3.1833677999675274;38
21;S08;A;pre;1;60.11924049270635;[0.017015199991874397, 0.017562700028065592, 0.01584160001948476, 0.01643389998935163];89;5;0.04983820003690198;blank.tiff;mask.tiff;0.14;a;['right'];0.14309730002423748;0;0.803;2.7931687000091188;81
22;S08;A;pre;1;60.11924049270635;[0.01698060001945123, 0.016283800010569394, 0.017120299977250397, 0.016062500013504177];43;1;0.04946660000132397;3.tif;mask.tiff;0.14;left;['right'];0.16377249994548038;1;0.958;2.9639499000040814;21
23;S08;A;pre;1;60.11924049270635;[0.01799089997075498, 0.016248000029008836, 0.017015599994920194, 0.015864199958741665];96;4;0.049127799982670695;blank.tiff;mask.tiff;-0.14;a;['left'];0.2165913000353612;0;0.716;2.7667385999811813;64
24;S08;A;pre;1;60.11924049270635;[0.017622699961066246, 0.015935000032186508, 0.017960999975912273, 0.01514660002430901];22;3;0.04904260003240779;8.tif;mask.tiff;-0.14;right;['right'];0.1767709000268951;1;0.834;2.842664399999194;56
25;S08;A;pre;1;60.11924049270635;[0.01738219999242574, 0.016705400019418448, 0.016573900007642806, 0.01664009998785332];90;1;0.04991940001491457;blank.tiff;mask.tiff;-0.14;a;['right'];0.21378300001379102;0;0.71;2.7643668999662623;16
26;S08;A;pre;1;60.11924049270635;[0.016722200030926615, 0.016873199958354235, 0.01589149999199435, 0.01673460000893101];2;1;0.0494992999592796;3.tif;mask.tiff;-0.14;left;['left'];0.3031489999848418;1;0.815;2.9527981000137515;20
27;S08;A;pre;1;60.11924049270635;[0.017306900001130998, 0.015975499991327524, 0.016929500037804246, 0.016477899975143373];57;3;0.04938290000427514;2.tif;mask.tiff;0.14;left;['left'];0.14953950000926852;1;0.905;2.8991279999609105;51
28;S08;A;pre;1;60.11924049270635;[0.016384099959395826, 0.01615270000183955, 0.01650080003309995, 0.017303299973718822];45;1;0.04995680000865832;7.tif;mask.tiff;0.14;right;['left'];0.24104960000840947;0;2.965;5.041350800020155;23
29;S08;A;pre;1;60.11924049270635;[0.017277900013141334, 0.016619500005617738, 0.01555090001784265, 0.016674399957992136];6;1;0.048844799981452525;8.tif;mask.tiff;-0.14;right;['right'];0.2512374999932945;1;1.109;3.201762399985455;24
30;S08;A;pre;1;60.11924049270635;[0.016596600005868822, 0.01734810002380982, 0.016429200011771172, 0.017300899955444038];29;4;0.05107819999102503;7.tif;mask.tiff;0.14;right;['right'];0.1440242999815382;1;0.844;2.8276889999979176;71
31;S08;A;pre;1;60.11924049270635;[0.016849400009959936, 0.01786369999172166, 0.01602959999581799, 0.016528300009667873];80;1;0.05042159999720752;blank.tiff;mask.tiff;-0.14;a;['left'];0.23714990000007674;0;0.771;2.853569599974435;16
32;S08;A;pre;1;60.11924049270635;[0.016559500014409423, 0.017159299983177334, 0.01656170003116131, 0.017245499999262393];82;2;0.050966500013601035;blank.tiff;mask.tiff;-0.14;a;['right'];0.20045319997007027;0;0.885;2.9344721999950707;32
33;S08;A;pre;1;60.11924049270635;[0.016953599988482893, 0.017292200005613267, 0.016725499997846782, 0.016577400034293532];85;3;0.05059510003775358;blank.tiff;mask.tiff;0.14;a;['right'];0.7797148000099696;0;1.151;3.7628419999964535;49
34;S08;A;pre;1;60.11924049270635;[0.015522700035944581, 0.017606799956411123, 0.016070300014689565, 0.016349799989257008];18;3;0.050026899960357696;3.tif;mask.tiff;-0.14;left;['left'];1.7880719000240788;0;0.973;4.604832000040915;52
35;S08;A;pre;1;60.11924049270635;[0.017778099980205297, 0.015535900020040572, 0.01724870002362877, 0.0159597999881953];15;2;0.04874440003186464;8.tif;mask.tiff;0.14;right;['right'];0.16261279996251687;1;0.677;2.6796222999691963;41
36;S08;A;pre;1;60.11924049270635;[0.015228999953251332, 0.017315800010692328, 0.01653030002489686, 0.016007600002922118];5;1;0.049853700038511306;7.tif;mask.tiff;0.14;right;['right'];0.38181220000842586;0;8.578;10.798849599959794;23
37;S08;A;pre;1;60.11924049270635;[0.0157362999743782, 0.01714650000212714, 0.016402400040533394, 0.017203999974299222];36;5;0.05075290001695976;7.tif;mask.tiff;-0.14;right;['right'];0.3075239000027068;1;9.73;11.873634100018535;86
38;S08;A;pre;1;60.11924049270635;[0.016516199975740165, 0.016994700010400265, 0.016002000018488616, 0.017350199981592596];91;1;0.05034690001048148;blank.tiff;mask.tiff;0.14;a;['right'];0.6451102999853902;0;3.871;6.361498499987647;17
39;S08;A;pre;1;60.11924049270635;[0.01704020000761375, 0.015917899960186332, 0.01634680002462119, 0.0173124999855645];84;3;0.04957719997037202;blank.tiff;mask.tiff;-0.14;a;['left'];0.5251073999679647;0;1.737;4.108308299968485;48
40;S08;A;pre;1;60.11924049270635;[0.014280400006100535, 0.016832799999974668, 0.017495699983555824, 0.015130600018892437];60;3;0.04945910000242293;7.tif;mask.tiff;-0.14;right;['right'];0.1814760999986902;1;0.878;2.897820700018201;54
41;S08;A;pre;1;60.11924049270635;[0.016972500015981495, 0.016284599958453327, 0.017143400036729872, 0.016311599989421666];75;5;0.049739599984604865;3.tif;mask.tiff;0.14;left;['left'];0.23240310000255704;1;1.383;3.465177299978677;85
42;S08;A;pre;1;60.11924049270635;[0.01690789998974651, 0.01604120002593845, 0.021820599969942123, 0.012056900013703853];7;1;0.04991870000958443;8.tif;mask.tiff;0.14;right;['right'];0.27472789998864755;1;0.769;2.874893600004725;25
43;S08;A;pre;1;60.11924049270635;[0.0171818999806419, 0.015499700035434216, 0.01665609999326989, 0.017129999992903322];83;2;0.04928580002160743;blank.tiff;mask.tiff;0.14;a;['left'];0.3863820999977179;0;9.512;11.735587999981362;33
44;S08;A;pre;1;60.11924049270635;[0.016806300031021237, 0.01672299997881055, 0.017219900037162006, 0.0164369999547489];62;3;0.05037989997072145;8.tif;mask.tiff;-0.14;right;['right'];0.21197249996475875;1;0.965;3.012014399981126;56
45;S08;A;pre;1;60.11924049270635;[0.01636889996007085, 0.016966500028502196, 0.016581800009589642, 0.017449699982535094];59;3;0.05099800002062693;3.tif;mask.tiff;0.14;left;['left'];0.185223100008443;1;0.696;2.7181287999846973;53
46;S08;A;pre;1;60.11924049270635;[0.01642780000111088, 0.016628400015179068, 0.01694669999415055, 0.016702900000382215];79;5;0.05027800000971183;8.tif;mask.tiff;0.14;right;['right'];0.18641169997863472;1;1.003;3.0199844000162557;89
47;S08;A;pre;1;60.11924049270635;[0.016893699998036027, 0.016215900017414242, 0.016714699973817915, 0.01682810002239421];54;2;0.04975870001362637;8.tif;mask.tiff;-0.14;right;['right'];0.289930299972184;0;1.024;3.1570636999676935;40
48;S08;A;pre;1;60.11924049270635;[0.016685099981259555, 0.017344599997159094, 0.01629769999999553, 0.01725940004689619];51;2;0.05090170004405081;3.tif;mask.tiff;0.14;left;['right'];0.2018269000109285;1;0.96;3.0018399000400677;37
49;S08;A;pre;1;60.11924049270635;[0.016652500024065375, 0.016768299974501133, 0.017555300029926002, 0.015716399997472763];46;1;0.0500400000018999;8.tif;mask.tiff;-0.14;right;['right'];0.15759919997071847;1;0.715;2.707490000000689;24
50;S08;A;pre;1;60.11924049270635;[0.016581100004259497, 0.016762300045229495, 0.016392799967434257, 0.017327599984128028];86;4;0.05048269999679178;blank.tiff;mask.tiff;-0.14;a;['left'];0.2198608999606222;0;0.869;2.937468499992974;64
51;S08;A;pre;1;60.11924049270635;[0.015824100002646446, 0.017757499997969717, 0.016259500000160187, 0.016369300021324307];97;4;0.05038630001945421;blank.tiff;mask.tiff;0.14;a;['left'];0.2672362999874167;0;1.052;3.149803799984511;65
52;S08;A;pre;1;60.11924049270635;[0.016271399974357337, 0.016439100028946996, 0.017407100007403642, 0.017185299948323518];73;5;0.051031499984674156;2.tif;mask.tiff;0.14;left;['left'];0.1641239000018686;1;0.841;2.8972086000139825;83
53;S08;A;pre;1;60.11924049270635;[0.016458400001283735, 0.017386000021360815, 0.016501399979460984, 0.015803200018126518];93;2;0.04969060001894832;blank.tiff;mask.tiff;0.14;a;['left'];0.22832910000579432;0;0.867;2.9275416000164114;33
54;S08;A;pre;1;60.11924049270635;[0.016302299976814538, 0.017011100018862635, 0.016617299988865852, 0.016766900022048503];95;3;0.05039530002977699;blank.tiff;mask.tiff;0.14;a;['left'];0.28062020003562793;0;1.069;3.1805693000205792;49
55;S08;A;pre;1;60.11924049270635;[0.016996700025629252, 0.016650800011120737, 0.01718929997878149, 0.01622669998323545];50;2;0.05006679997313768;3.tif;mask.tiff;-0.14;left;['right'];0.2212428999482654;0;0.84;2.9039600999676622;36
56;S08;A;pre;1;60.11924049270635;[0.01629200001480058, 0.016605200013145804, 0.01717329997336492, 0.01616890000877902];4;1;0.04994739999528974;7.tif;mask.tiff;-0.14;right;['right'];0.21068250003736466;1;1.038;3.0942933000042103;22
