;subject;stim;session;block;frame_rate;trial_nb;target;cor_ans;obj_rating;obj_RT;subj_rating;subj_RT
0;S06;A;pre;1;60.39518988543099;73;e;left;['left'];1.4976487000021734;0;3.009
1;S06;A;pre;1;60.39518988543099;20;a;right;['right'];1.0068129999999655;1;2.897
2;S06;A;pre;1;60.39518988543099;54;e;left;['left'];1.108552099998633;1;2.202
3;S06;A;pre;1;60.39518988543099;90;noise;;['right'];2.358093700000609;0;1.506
4;S06;A;pre;1;60.39518988543099;88;noise;;['right'];0.8350833000004059;0;0.964
5;S06;A;pre;1;60.39518988543099;32;a;right;['right'];0.5061621999993804;1;1.052
6;S06;A;pre;1;60.39518988543099;23;a;right;['right'];0.36374119999891263;1;0.92
7;S06;A;pre;1;60.39518988543099;68;e;left;['left'];0.33709649999946123;1;0.797
8;S06;A;pre;1;60.39518988543099;57;e;left;['right'];0.2915324999994482;1;0.72
9;S06;A;pre;1;60.39518988543099;36;a;right;['right'];0.3483951000016532;1;0.801
10;S06;A;pre;1;60.39518988543099;84;noise;;['left'];1.1940477999996801;0;0.742
11;S06;A;pre;1;60.39518988543099;61;e;left;['left'];0.2552514000017254;1;0.745
12;S06;A;pre;1;60.39518988543099;34;a;right;['right'];2.0935520000020915;1;1.332
13;S06;A;pre;1;60.39518988543099;44;e;left;['left'];0.37400200000047334;1;0.852
14;S06;A;pre;1;60.39518988543099;60;e;left;['left'];0.2494027000029746;1;0.83
15;S06;A;pre;1;60.39518988543099;37;a;right;['right'];0.3717728999981773;1;0.97
16;S06;A;pre;1;60.39518988543099;82;noise;;['right'];1.0823218999976234;0;0.878
17;S06;A;pre;1;60.39518988543099;40;e;left;['left'];0.2458544000000984;1;0.972
18;S06;A;pre;1;60.39518988543099;9;a;right;['right'];0.4594844999992347;1;0.807
19;S06;A;pre;1;60.39518988543099;78;e;left;['right'];0.4084526000006008;1;0.77
20;S06;A;pre;1;60.39518988543099;7;a;right;['right'];0.295865899999626;1;0.767
21;S06;A;pre;1;60.39518988543099;6;a;right;['right'];0.4350066000006336;1;1.151
22;S06;A;pre;1;60.39518988543099;96;noise;;['right'];0.9570276000013109;0;0.873
23;S06;A;pre;1;60.39518988543099;80;noise;;['left'];0.7023389000023599;0;0.76
24;S06;A;pre;1;60.39518988543099;64;e;left;['left'];0.26777539999966393;1;0.633
25;S06;A;pre;1;60.39518988543099;28;a;right;['right'];0.278298299999733;1;0.643
26;S06;A;pre;1;60.39518988543099;72;e;left;['left'];0.17314759999862872;1;0.995
27;S06;A;pre;1;60.39518988543099;71;e;left;['left'];0.15041149999888148;1;0.715
28;S06;A;pre;1;60.39518988543099;65;e;left;['right'];0.6397686000018439;1;0.872
29;S06;A;pre;1;60.39518988543099;41;e;left;['right'];0.6111081000017293;1;0.918
30;S06;A;pre;1;60.39518988543099;46;e;left;['left'];0.19236780000210274;1;0.625
