;volume;subj_response;obj_response
0;-14.0;1;1
1;-13.75;1;1
2;-13.5;1;1
3;-13.25;1;0
4;-13.5;1;1
5;-13.25;1;1
6;-13.0;0;1
7;-13.25;1;1
8;-13.0;1;1
9;-12.75;0;1
10;-13.0;1;0
11;-13.25;1;1
12;-13.0;1;1
13;-12.75;1;1
14;-12.5;1;1
15;-12.25;1;1
16;-12.0;0;1
17;-12.25;0;1
18;-12.5;0;1
19;-12.75;0;0
20;-13.0;1;1
21;-12.75;1;1
22;-12.5;1;1
23;-12.25;1;1
24;-12.0;1;1
25;-11.75;1;1
26;-11.5;1;1
27;-11.25;1;0
28;-11.5;1;1
29;-11.25;1;1
30;-11.0;1;0
31;-11.25;0;1
32;-11.5;1;1
33;-11.25;0;1
34;-11.5;0;0
35;-11.75;1;1
36;-11.5;1;1
37;-11.25;1;0
38;-11.5;1;1
39;-11.25;0;1
40;-11.5;1;1
41;-11.25;1;1
42;-11.0;1;1
43;-10.75;1;1
44;-10.5;1;1
45;-10.25;1;1
46;-10.0;0;1
47;-10.25;1;1
48;-10.0;1;1
49;-9.75;1;1
50;-9.5;1;1
51;-9.25;1;1
52;-9.0;1;1
53;-8.75;1;1
54;-8.5;1;1
55;-8.25;0;1
56;-8.5;0;1
57;-8.75;1;0
58;-9.0;1;1
59;-8.75;1;1
60;-8.5;0;0
61;-8.75;1;1
62;-8.5;1;1
63;-8.25;0;1
64;-8.5;1;1
65;-8.25;1;1
66;-8.0;1;0
67;-8.25;1;1
68;-8.0;1;1
69;-7.75;1;1
70;-7.5;1;1
71;-7.25;1;1
72;-7.0;0;1
73;-7.25;0;0
74;-7.5;1;1
75;-7.25;1;1
76;-7.0;1;1
77;-6.75;1;1
78;-6.5;1;1
79;-6.25;1;1
80;-6.0;1;1
81;-5.75;1;1
82;-5.5;1;1
83;-5.25;0;1
84;-5.5;0;1
85;-5.75;1;1
86;-5.5;1;1
87;-5.25;1;1
88;-5.0;1;1
89;-4.75;1;1
90;-4.5;1;0
91;-4.75;1;1
92;-4.5;1;0
93;-4.75;1;1
94;-4.5;0;0
95;-4.75;1;1
96;-4.5;1;1
97;-4.25;1;1
98;-4.0;1;1
99;-3.75;1;1
100;-3.5;1;1
101;-3.25;1;1
102;-3.0;1;1
103;-2.75;1;1
104;-2.5;1;1
105;-2.25;1;1
106;-2.0;1;1
107;-1.75;1;1
108;-1.5;1;0
109;-1.75;1;1
110;-1.5;1;1
111;-1.25;1;1
112;-1.0;1;1
113;-0.75;1;1
114;-0.5;0;0
115;-0.75;1;1
116;-0.5;1;0
117;-0.75;1;1
118;-0.5;1;1
119;-0.25;1;1
120;0.0;1;1
121;0.25;1;1
122;0.5;1;1
123;0.75;0;1
124;0.5;1;0
125;0.25;1;1
126;0.5;1;1
127;0.75;1;1
128;1.0;1;0
129;0.75;0;1
130;0.5;1;1
131;0.75;1;1
132;1.0;1;1
133;1.25;1;0
134;1.0;0;0
135;0.75;1;1
136;1.0;1;1
137;1.25;1;1
138;1.5;1;1
139;1.75;1;0
140;1.5;0;0
141;1.25;0;1
142;1.0;0;0
143;0.75;1;1
144;1.0;1;1
145;1.25;1;0
146;1.0;1;1
147;1.25;1;1
148;1.5;1;1
149;1.75;0;1
150;1.5;0;0
151;1.25;0;0
152;1.0;1;1
153;1.25;1;1
154;1.5;0;1
155;1.25;0;0
156;1.0;1;1
157;1.25;1;1
158;1.5;1;0
159;1.25;1;0
160;1.0;1;0
161;0.75;1;1
162;1.0;0;0
163;0.75;0;1
164;0.5;1;0
165;0.25;1;1
166;0.5;1;1
167;0.75;1;1
168;1.0;0;0
169;0.75;0;0
170;0.5;1;1
171;0.75;1;1
172;1.0;0;1
173;0.75;0;1
174;0.5;1;1
175;0.75;0;0
176;0.5;1;1
177;0.75;1;1
178;1.0;1;0
179;0.75;0;1
180;0.5;0;0
181;0.25;1;1
182;0.5;0;0
183;0.25;0;0
184;0.0;1;1
185;0.25;1;1
186;0.5;1;1
187;0.75;1;0
188;0.5;0;0
189;0.25;0;0
190;0.0;1;0
191;-0.25;1;1
192;0.0;1;1
193;0.25;1;0
194;0.0;1;0
195;-0.25;1;1
196;0.0;1;1
197;0.25;0;1
198;0.0;1;1
199;0.25;1;1
