;null_trials;SOA;contrast;subj_response;obj_response
0;0;3;0.7;0;0
1;0;3;0.72;0;1
2;0;3;0.74;0;0
3;0;3;0.76;0;1
4;0;3;0.78;0;1
5;0;3;0.8;0;0
6;0;3;0.8200000000000001;0;1
7;0;3;0.8400000000000001;0;0
8;0;3;0.8600000000000001;0;0
9;0;3;0.8800000000000001;0;0
10;0;3;0.9000000000000001;0;1
11;0;3;0.9200000000000002;0;0
12;0;3;0.9400000000000002;0;0
13;0;3;0.9600000000000002;0;1
14;0;3;0.9800000000000002;0;0
15;0;3;1.0;0;0
16;0;3;1.0;0;1
17;0;3;1.0;0;0
18;1;3;1.0;0;1
19;0;3;1.0;0;1
20;0;3;1.0;0;0
21;0;3;1.0;0;0
22;0;3;1.0;0;0
23;0;3;1.0;0;0
24;0;3;1.0;0;1
25;0;3;1.0;0;0
26;0;3;1.0;0;1
27;1;3;1.0;0;0
28;0;3;1.0;0;0
29;0;3;1.0;0;1
30;0;3;1.0;0;0
31;0;3;1.0;0;1
32;0;3;1.0;0;0
33;0;3;1.0;0;1
34;0;3;1.0;0;0
35;0;3;1.0;0;1
36;0;3;1.0;0;0
37;0;3;1.0;0;1
38;0;3;1.0;0;0
39;0;3;1.0;0;0
40;0;3;1.0;0;1
41;0;3;1.0;0;0
42;0;3;1.0;0;1
43;0;3;1.0;0;1
44;0;3;1.0;0;0
45;0;3;1.0;0;0
46;0;3;1.0;0;1
47;0;3;1.0;0;1
48;0;3;1.0;0;0
49;0;3;1.0;0;1
50;0;3;1.0;0;1
51;0;3;1.0;0;1
52;0;3;1.0;0;1
53;0;3;1.0;0;0
54;0;3;1.0;0;0
55;0;3;1.0;0;1
56;0;3;1.0;0;0
57;0;3;1.0;0;0
58;0;3;1.0;0;1
59;0;3;1.0;0;0
60;0;3;1.0;0;1
61;0;3;1.0;0;0
62;0;3;1.0;0;0
63;0;3;1.0;0;1
64;0;3;1.0;1;1
65;0;3;0.98;0;1
66;0;3;1.0;0;0
67;0;3;1.0;0;1
68;0;3;1.0;0;0
69;0;3;1.0;1;1
70;0;3;0.98;0;0
71;0;3;1.0;1;1
72;0;3;0.98;1;1
73;0;3;0.96;1;1
74;0;3;0.94;0;0
75;0;3;0.96;0;0
76;0;3;0.98;0;1
77;0;3;1.0;0;0
78;0;3;1.0;0;1
79;0;3;1.0;0;1
80;0;3;1.0;0;1
81;0;3;1.0;0;0
82;0;3;1.0;0;0
83;0;3;1.0;0;1
84;0;3;1.0;0;1
85;0;3;1.0;0;0
86;0;3;1.0;0;0
87;0;3;1.0;1;1
88;0;3;0.98;0;1
89;0;3;1.0;1;1
90;1;3;0.98;0;0
91;1;3;1.0;0;1
92;0;3;1.0;0;0
93;0;3;1.0;1;1
94;0;3;0.98;0;0
95;0;3;1.0;0;1
96;0;3;1.0;0;1
97;0;3;1.0;1;1
98;1;3;0.98;0;1
99;0;3;1.0;0;0
100;0;3;1.0;0;0
101;0;3;1.0;0;1
102;0;3;1.0;0;1
103;0;3;1.0;0;0
104;0;3;1.0;0;1
105;0;3;1.0;0;1
106;0;3;1.0;0;1
107;0;3;1.0;1;1
108;0;3;0.98;0;1
109;0;3;1.0;0;1
110;0;3;1.0;0;1
111;0;3;1.0;0;1
112;0;3;1.0;0;1
113;0;3;1.0;0;1
114;0;3;1.0;0;1
115;0;3;1.0;1;1
116;0;3;0.98;0;0
117;0;3;1.0;0;1
118;0;3;1.0;0;1
119;0;3;1.0;0;1
120;0;3;1.0;0;1
121;0;3;1.0;1;1
122;0;3;0.98;0;1
123;0;3;1.0;1;1
124;0;3;0.98;0;1
125;0;3;1.0;1;1
126;0;3;0.98;0;0
127;0;3;1.0;0;1
128;0;3;1.0;0;1
129;0;3;1.0;0;1
130;0;3;1.0;0;1
131;0;3;1.0;0;1
132;0;3;1.0;0;1
133;0;3;1.0;1;1
134;0;3;0.98;1;1
135;0;3;0.96;0;1
136;0;3;0.98;0;1
137;0;3;1.0;0;1
138;0;3;1.0;0;1
139;0;3;1.0;0;1
140;0;3;1.0;1;1
141;0;3;0.98;0;1
142;0;3;1.0;1;1
143;0;3;0.98;1;1
144;0;3;0.96;0;1
145;0;3;0.98;1;1
146;0;3;0.96;1;1
147;1;3;0.94;0;1
148;0;3;0.96;0;1
149;0;3;0.98;1;1
150;0;3;0.96;0;1
151;0;3;0.98;0;1
152;0;3;1.0;1;1
153;0;3;0.98;1;1
154;0;3;0.96;0;1
155;0;3;0.98;0;1
156;0;3;1.0;0;1
157;0;3;1.0;0;1
158;0;3;1.0;0;1
159;0;3;1.0;0;1
160;0;3;1.0;0;1
161;0;3;1.0;0;1
162;0;3;1.0;0;1
163;0;3;1.0;1;1
164;0;3;0.98;1;1
165;0;3;0.96;0;1
166;1;3;0.98;0;1
167;1;3;1.0;0;0
168;0;3;1.0;1;1
169;0;3;0.98;0;1
170;0;3;1.0;0;1
171;0;3;1.0;0;1
172;0;3;1.0;0;1
173;0;3;1.0;0;1
174;0;3;1.0;1;1
175;0;3;0.98;1;1
176;0;3;0.96;0;1
177;0;3;0.98;0;1
178;0;3;1.0;0;0
179;0;3;1.0;0;1
180;0;3;1.0;1;1
181;0;3;0.98;1;1
182;0;3;0.96;1;1
183;0;3;0.94;0;1
184;0;3;0.96;0;1
185;1;3;0.98;0;1
186;0;3;1.0;1;1
187;0;3;0.98;1;1
188;0;3;0.96;1;1
189;0;3;0.94;1;1
190;0;3;0.9199999999999999;1;1
191;0;3;0.8999999999999999;1;1
192;0;3;0.8799999999999999;1;1
193;0;3;0.8599999999999999;1;1
194;0;3;0.8399999999999999;0;1
195;0;3;0.8599999999999999;0;1
196;0;3;0.8799999999999999;1;1
197;1;3;0.8599999999999999;0;1
198;0;3;0.8799999999999999;0;0
199;0;3;0.8999999999999999;0;1
