;null_trials;SOA;contrast;subj_response;obj_response
0;0;3;0.7;0;0
1;0;3;0.72;0;1
2;1;3;0.74;0;1
3;0;3;0.76;1;1
4;0;3;0.74;1;1
5;0;3;0.72;1;1
6;0;3;0.7;1;1
7;0;3;0.6799999999999999;1;1
8;0;3;0.6599999999999999;1;1
9;0;3;0.6399999999999999;1;0
10;0;3;0.6599999999999999;1;1
11;0;3;0.6399999999999999;0;0
12;0;3;0.6599999999999999;1;1
13;0;3;0.6399999999999999;1;1
14;0;3;0.6199999999999999;1;1
15;0;3;0.5999999999999999;1;1
16;0;3;0.5799999999999998;1;1
17;0;3;0.5599999999999998;1;1
18;0;3;0.5399999999999998;1;1
19;0;3;0.5199999999999998;1;1
20;0;3;0.4999999999999998;1;1
21;0;3;0.47999999999999976;1;1
22;0;3;0.45999999999999974;1;1
23;0;3;0.4399999999999997;0;0
24;0;3;0.45999999999999974;1;1
25;0;3;0.4399999999999997;1;1
26;0;3;0.4199999999999997;1;1
27;0;3;0.3999999999999997;1;1
28;0;3;0.37999999999999967;1;1
29;0;3;0.35999999999999965;1;1
30;0;3;0.33999999999999964;1;1
31;0;3;0.3199999999999996;1;1
32;0;3;0.2999999999999996;1;1
33;0;3;0.2799999999999996;1;1
34;0;3;0.25999999999999956;1;1
35;0;3;0.23999999999999957;1;1
36;0;3;0.21999999999999958;1;1
37;0;3;0.1999999999999996;1;0
38;0;3;0.21999999999999958;1;1
39;1;3;0.1999999999999996;0;1
40;0;3;0.21999999999999958;1;1
41;1;3;0.1999999999999996;0;0
42;1;3;0.21999999999999958;0;1
43;0;3;0.23999999999999957;1;1
44;0;3;0.21999999999999958;1;1
45;0;3;0.1999999999999996;1;1
46;1;3;0.1799999999999996;0;0
47;0;3;0.1999999999999996;1;1
48;0;3;0.1799999999999996;1;1
49;0;3;0.15999999999999961;0;1
50;0;3;0.1799999999999996;1;1
51;0;3;0.15999999999999961;1;1
52;0;3;0.13999999999999962;1;1
53;0;3;0.11999999999999962;1;1
54;0;3;0.09999999999999962;0;0
55;0;3;0.11999999999999962;1;1
56;0;3;0.09999999999999962;1;1
57;0;3;0.07999999999999961;1;1
58;0;3;0.05999999999999961;1;1
59;1;3;0.039999999999999605;0;0
60;0;3;0.05999999999999961;1;1
61;0;3;0.039999999999999605;1;1
62;0;3;0.019999999999999605;1;1
63;0;3;-3.95516952522712e-16;1;1
64;0;3;-0.020000000000000396;1;1
65;0;3;-0.040000000000000396;1;1
66;0;3;-0.0600000000000004;1;1
67;0;3;-0.0800000000000004;1;1
68;0;3;-0.10000000000000041;1;1
69;0;3;-0.12000000000000041;1;1
70;0;3;-0.1400000000000004;1;1
71;0;3;-0.1600000000000004;1;1
72;0;3;-0.18000000000000038;1;1
73;0;3;-0.20000000000000037;1;1
74;0;3;-0.22000000000000036;1;1
75;0;3;-0.24000000000000035;1;1
76;0;3;-0.26000000000000034;1;1
77;0;3;-0.28000000000000036;1;1
78;0;3;-0.3000000000000004;1;1
79;0;3;-0.3200000000000004;1;1
80;0;3;-0.3400000000000004;1;1
81;0;3;-0.36000000000000043;1;1
82;0;3;-0.38000000000000045;1;1
83;0;3;-0.40000000000000047;0;1
84;0;3;-0.38000000000000045;1;0
85;0;3;-0.36000000000000043;1;1
86;0;3;-0.38000000000000045;1;1
87;0;3;-0.40000000000000047;1;1
88;0;3;-0.4200000000000005;0;0
89;0;3;-0.40000000000000047;1;1
90;0;3;-0.4200000000000005;1;0
91;0;3;-0.40000000000000047;1;1
92;0;3;-0.4200000000000005;1;1
93;0;3;-0.4400000000000005;1;0
94;0;3;-0.4200000000000005;1;1
95;0;3;-0.4400000000000005;1;1
96;0;3;-0.4600000000000005;1;1
97;0;3;-0.48000000000000054;1;1
98;0;3;-0.5000000000000006;1;1
99;0;3;-0.5200000000000006;1;0
100;0;3;-0.5000000000000006;1;1
101;0;3;-0.5200000000000006;1;1
102;1;3;-0.5400000000000006;0;1
103;0;3;-0.5200000000000006;1;1
104;0;3;-0.5400000000000006;1;1
105;0;3;-0.5600000000000006;0;0
106;0;3;-0.5400000000000006;0;0
107;0;3;-0.5200000000000006;1;1
108;0;3;-0.5400000000000006;1;0
109;0;3;-0.5200000000000006;0;0
110;0;3;-0.5000000000000006;0;0
111;0;3;-0.48000000000000054;1;1
112;0;3;-0.5000000000000006;1;1
113;0;3;-0.5200000000000006;0;0
114;0;3;-0.5000000000000006;0;1
115;0;3;-0.48000000000000054;1;1
116;0;3;-0.5000000000000006;1;1
117;0;3;-0.5200000000000006;1;0
118;0;3;-0.5000000000000006;1;1
119;0;3;-0.5200000000000006;1;1
120;0;3;-0.5400000000000006;1;1
121;0;3;-0.5600000000000006;1;1
122;0;3;-0.5800000000000006;0;1
123;0;3;-0.5600000000000006;0;0
124;0;3;-0.5400000000000006;0;0
125;1;3;-0.5200000000000006;0;0
126;0;3;-0.5000000000000006;1;1
127;0;3;-0.5200000000000006;0;0
128;0;3;-0.5000000000000006;0;0
129;0;3;-0.48000000000000054;0;1
130;0;3;-0.4600000000000005;0;0
131;0;3;-0.4400000000000005;0;0
132;0;3;-0.4200000000000005;1;1
133;0;3;-0.4400000000000005;0;1
134;0;3;-0.4200000000000005;1;1
135;0;3;-0.4400000000000005;0;0
136;0;3;-0.4200000000000005;0;0
137;0;3;-0.40000000000000047;1;1
138;0;3;-0.4200000000000005;1;1
139;0;3;-0.4400000000000005;1;1
140;0;3;-0.4600000000000005;1;1
141;0;3;-0.48000000000000054;1;1
142;0;3;-0.5000000000000006;1;1
143;0;3;-0.5200000000000006;1;1
144;0;3;-0.5400000000000006;1;1
145;0;3;-0.5600000000000006;0;1
146;0;3;-0.5400000000000006;1;1
147;0;3;-0.5600000000000006;0;0
148;1;3;-0.5400000000000006;0;1
149;0;3;-0.5200000000000006;0;0
150;0;3;-0.5000000000000006;1;0
151;0;3;-0.48000000000000054;0;1
152;0;3;-0.4600000000000005;0;1
153;0;3;-0.4400000000000005;1;1
154;0;3;-0.4600000000000005;0;0
155;0;3;-0.4400000000000005;1;1
156;0;3;-0.4600000000000005;1;1
157;0;3;-0.48000000000000054;1;1
158;0;3;-0.5000000000000006;0;1
159;0;3;-0.48000000000000054;1;1
160;0;3;-0.5000000000000006;0;0
161;0;3;-0.48000000000000054;0;0
162;0;3;-0.4600000000000005;0;1
163;0;3;-0.4400000000000005;1;1
164;0;3;-0.4600000000000005;1;0
165;0;3;-0.4400000000000005;1;1
166;0;3;-0.4600000000000005;1;1
167;0;3;-0.48000000000000054;0;1
168;0;3;-0.4600000000000005;1;1
169;0;3;-0.48000000000000054;0;0
170;0;3;-0.4600000000000005;1;1
171;0;3;-0.48000000000000054;1;1
172;0;3;-0.5000000000000006;1;1
173;0;3;-0.5200000000000006;0;0
174;0;3;-0.5000000000000006;0;0
175;1;3;-0.48000000000000054;0;1
176;0;3;-0.4600000000000005;1;1
177;0;3;-0.48000000000000054;1;1
178;0;3;-0.5000000000000006;0;0
179;0;3;-0.48000000000000054;0;1
180;0;3;-0.4600000000000005;1;1
181;0;3;-0.48000000000000054;1;1
182;0;3;-0.5000000000000006;0;1
183;0;3;-0.48000000000000054;1;1
184;0;3;-0.5000000000000006;1;1
185;0;3;-0.5200000000000006;0;1
186;0;3;-0.5000000000000006;0;1
187;0;3;-0.48000000000000054;0;0
188;0;3;-0.4600000000000005;1;1
189;0;3;-0.48000000000000054;0;0
190;0;3;-0.4600000000000005;0;0
191;0;3;-0.4400000000000005;1;1
192;0;3;-0.4600000000000005;0;0
193;0;3;-0.4400000000000005;1;1
194;0;3;-0.4600000000000005;1;1
195;0;3;-0.48000000000000054;1;1
196;0;3;-0.5000000000000006;0;1
197;0;3;-0.48000000000000054;1;1
198;0;3;-0.5000000000000006;1;1
199;0;3;-0.5200000000000006;1;1
