;volume;subj_response;obj_response
0;-14.0;1;0
1;-14.25;1;1
2;-14.0;1;1
3;-13.75;1;1
4;-13.5;0;1
5;-13.75;1;1
6;-13.5;1;0
7;-13.75;0;1
8;-14.0;0;1
9;-14.25;1;0
10;-14.5;0;1
11;-14.75;0;1
12;-15.0;0;1
13;-15.25;1;0
14;-15.5;1;0
15;-15.75;1;1
16;-14.75;1;1
17;-14.5;0;1
18;-14.75;1;0
19;-15.0;0;0
20;-15.25;1;1
21;-14.75;1;1
22;-14.5;1;1
23;-14.25;1;1
24;-14.0;1;1
25;-13.75;1;1
26;-13.5;0;1
27;-13.75;0;0
28;-14.0;1;1
29;-13.75;1;1
30;-13.5;1;1
31;-13.25;1;1
32;-13.0;1;0
33;-13.25;1;1
34;-13.0;0;0
35;-13.25;1;1
36;-13.0;1;1
37;-12.75;1;1
38;-12.5;1;1
39;-12.25;1;1
40;-12.0;0;1
41;-12.25;1;1
42;-12.0;1;1
43;-11.75;0;0
44;-12.0;0;0
45;-12.25;1;1
46;-12.0;1;1
47;-11.75;1;1
48;-11.5;1;1
49;-11.25;1;0
50;-11.5;0;0
51;-11.75;0;1
52;-12.0;0;1
53;-12.25;1;1
54;-12.0;1;1
55;-11.75;1;1
56;-11.5;1;1
57;-11.25;0;0
58;-11.5;0;0
59;-11.75;1;0
60;-12.0;1;1
61;-11.75;1;1
62;-11.5;1;1
63;-11.25;1;0
64;-11.5;1;1
65;-11.25;1;1
66;-11.0;1;1
67;-10.75;1;0
68;-11.0;1;1
69;-10.75;1;1
70;-10.5;1;1
71;-10.25;1;1
72;-10.0;1;1
73;-9.75;1;1
74;-9.5;1;0
75;-9.75;1;1
76;-9.5;1;1
77;-9.25;1;1
78;-9.0;1;1
79;-8.75;1;1
80;-8.5;1;1
81;-8.25;1;1
82;-8.0;1;0
83;-8.25;1;1
84;-8.0;1;0
85;-8.25;1;1
86;-8.0;1;1
87;-7.75;1;1
88;-7.5;1;1
89;-7.25;1;1
90;-7.0;1;0
91;-7.25;1;1
92;-7.0;1;1
93;-6.75;1;1
94;-6.5;1;1
95;-6.25;0;0
96;-6.5;1;1
97;-6.25;1;1
98;-6.0;0;0
99;-6.25;1;1
100;-6.0;1;0
101;-6.25;1;1
102;-6.0;1;0
103;-6.25;1;1
104;-6.0;1;0
105;-6.25;1;1
106;-6.0;1;0
107;-6.25;1;1
108;-6.0;1;0
109;-6.25;0;1
110;-6.5;0;1
111;-6.75;1;1
112;-6.5;1;1
113;-6.25;1;1
114;-6.0;1;1
115;-5.75;1;1
116;-5.5;1;1
117;-5.25;1;1
118;-5.0;1;1
119;-4.75;1;1
120;-4.5;1;0
121;-4.75;1;0
122;-5.0;1;0
123;-5.25;1;1
124;-5.0;1;1
125;-4.75;1;1
126;-4.5;1;1
127;-4.25;1;1
128;-4.0;1;1
129;-3.75;1;1
130;-3.5;1;1
131;-3.25;1;1
132;-3.0;0;0
133;-3.25;0;0
134;-3.5;1;0
135;-3.75;1;1
136;-3.5;1;1
137;-3.25;0;0
138;-3.5;1;1
139;-3.25;1;1
140;-3.0;1;1
141;-2.75;1;0
142;-3.0;1;0
143;-3.25;1;1
144;-3.0;1;1
145;-2.75;0;0
146;-3.0;1;1
147;-2.75;1;1
148;-2.5;1;0
149;-2.75;1;1
150;-2.5;1;1
151;-2.25;0;0
152;-2.5;1;1
153;-2.25;1;1
154;-2.0;1;1
155;-1.75;1;0
156;-2.0;1;1
157;-1.75;1;1
158;-1.5;1;1
159;-1.25;1;1
160;-1.0;0;0
161;-1.25;1;0
162;-1.5;1;1
163;-1.25;1;1
164;-1.0;1;0
165;-1.25;1;0
166;-1.5;0;0
167;-1.75;1;1
168;-1.5;1;0
169;-1.75;1;1
170;-1.5;0;0
171;-1.75;1;0
172;-2.0;1;1
173;-1.75;1;1
174;-1.5;1;1
175;-1.25;1;1
176;-1.0;1;1
177;-0.75;1;1
178;-0.5;1;1
179;-0.25;1;1
180;0.0;1;1
181;0.25;1;0
182;0.0;1;1
183;0.25;1;0
184;0.0;1;1
185;0.25;1;1
186;0.5;1;1
187;0.75;1;0
188;0.5;1;0
189;0.25;1;1
190;0.5;1;1
191;0.75;1;1
192;1.0;1;1
193;1.25;1;1
194;1.5;1;0
195;1.25;1;0
196;1.0;1;1
197;1.25;1;1
198;1.5;1;0
199;1.25;1;0
