;volume;subj_response;obj_response
0;-14.0;0;1
1;-14.25;1;0
2;-14.5;1;1
3;-14.25;1;1
4;-14.0;1;1
5;-13.75;1;1
6;-13.5;1;0
7;-13.75;1;1
8;-13.5;1;0
9;-13.75;1;1
10;-13.5;1;0
11;-13.75;1;1
12;-13.5;1;1
13;-13.25;1;1
14;-13.0;1;1
15;-12.75;0;0
16;-13.0;1;1
17;-12.75;1;0
18;-13.0;1;1
19;-12.75;1;1
20;-12.5;1;0
21;-12.75;1;0
22;-13.0;1;1
23;-12.75;1;1
24;-12.5;1;1
25;-12.25;1;1
26;-12.0;1;1
27;-11.75;1;1
28;-11.5;1;1
29;-11.25;1;1
30;-11.0;1;1
31;-10.75;0;0
32;-11.0;1;0
33;-11.25;1;1
34;-11.0;1;1
35;-10.75;1;1
36;-10.5;1;1
37;-10.25;1;1
38;-10.0;1;1
39;-9.75;1;1
40;-9.5;1;1
41;-9.25;1;1
42;-9.0;1;1
43;-8.75;1;1
44;-8.5;1;1
45;-8.25;1;1
46;-8.0;0;0
47;-8.25;1;1
48;-8.0;1;1
49;-7.75;1;1
50;-7.5;1;1
51;-7.25;0;0
52;-7.5;1;1
53;-7.25;1;1
54;-7.0;1;1
55;-6.75;1;1
56;-6.5;1;0
57;-6.75;1;1
58;-6.5;1;1
59;-6.25;1;0
60;-6.5;1;1
61;-6.25;1;0
62;-6.5;1;1
63;-6.25;1;1
64;-6.0;1;1
65;-5.75;1;1
66;-5.5;1;1
67;-5.25;0;0
68;-5.5;0;0
69;-5.75;1;1
70;-5.5;1;1
71;-5.25;1;1
72;-5.0;1;1
73;-4.75;1;1
74;-4.5;1;1
75;-4.25;1;1
76;-4.0;1;1
77;-3.75;1;0
78;-4.0;1;1
79;-3.75;1;1
80;-3.5;1;0
81;-3.75;1;1
82;-3.5;1;1
83;-3.25;1;0
84;-3.5;1;0
85;-3.75;1;1
86;-3.5;1;0
87;-3.75;1;0
88;-4.0;1;1
89;-3.75;1;1
90;-3.5;1;1
91;-3.25;1;1
92;-3.0;1;1
93;-2.75;1;1
94;-2.5;1;1
95;-2.25;1;1
96;-2.0;1;1
97;-1.75;1;1
98;-1.5;1;1
99;-1.25;1;1
100;-1.0;1;1
101;-0.75;1;0
102;-1.0;1;1
103;-0.75;1;0
104;-1.0;1;1
105;-0.75;1;1
106;-0.5;1;1
107;-0.25;1;1
108;0.0;1;1
109;0.25;1;1
110;0.5;1;0
111;0.25;1;0
112;0.0;1;1
113;0.25;1;0
114;0.0;0;0
115;-0.25;1;1
116;0.0;1;1
117;0.25;0;0
118;0.0;1;1
119;0.25;1;1
120;0.5;1;1
121;0.75;1;0
122;0.5;1;1
123;0.75;1;1
124;1.0;1;0
125;0.75;1;1
126;1.0;1;1
127;1.25;1;1
128;1.5;1;1
129;1.75;1;1
130;2.0;1;1
131;2.25;0;1
132;2.0;1;0
133;1.75;0;1
134;1.5;1;0
135;1.25;1;0
136;1.0;1;1
137;1.25;1;1
138;1.5;1;0
139;1.25;1;0
140;1.0;1;0
141;0.75;1;1
142;1.0;0;1
143;0.75;1;1
144;1.0;1;1
145;1.25;0;1
146;1.0;1;1
147;1.25;1;1
148;1.5;1;1
149;1.75;1;1
150;2.0;1;1
151;2.25;0;1
152;2.0;1;1
153;2.25;1;1
154;2.5;0;0
155;2.25;1;1
156;2.5;0;0
157;2.25;1;0
158;2.0;0;0
159;1.75;0;1
160;1.5;1;1
161;1.75;0;1
162;1.5;0;0
163;1.25;0;1
164;1.0;1;1
165;1.25;0;0
166;1.0;1;1
167;1.25;1;1
168;1.5;1;0
169;1.25;1;1
170;1.5;1;1
171;1.75;1;1
172;2.0;1;0
173;1.75;0;0
174;1.5;0;0
175;1.25;1;1
176;1.5;1;0
177;1.25;1;0
178;1.0;1;0
179;0.75;0;1
180;0.5;0;0
181;0.25;0;1
182;0.0;0;0
183;-0.25;0;1
184;-0.5;1;1
185;-0.25;0;1
186;-0.5;1;1
187;-0.25;1;1
188;0.0;1;0
189;-0.25;0;0
190;-0.5;1;0
191;-0.75;1;1
192;-0.5;1;1
193;-0.25;1;1
194;0.0;1;0
195;-0.25;1;0
196;-0.5;1;1
197;-0.25;0;0
198;-0.5;1;1
199;-0.25;1;1
