;subject;stim;session;block;frame_rate;trial_nb;target;cor_ans;obj_rating;obj_RT;subj_rating;subj_RT
22;s03bis;A;pre;1;60.08138626403041;81;noise;;['right'];0.35065499995835125;0;0.646
23;s03bis;A;pre;1;60.08138626403041;69;e;left;['left'];0.5015740999951959;1;0.864
24;s03bis;A;pre;1;60.08138626403041;88;noise;;['left'];1.6623823998961598;0;0.694
25;s03bis;A;pre;1;60.08138626403041;7;a;right;['right'];0.23149410006590188;1;0.858
26;s03bis;A;pre;1;60.08138626403041;1;a;right;['left'];0.2648668000474572;1;0.884
27;s03bis;A;pre;1;60.08138626403041;40;e;left;['right'];0.21036050003021955;1;0.837
28;s03bis;A;pre;1;60.08138626403041;47;e;left;['left'];0.2134148000041023;1;0.697
29;s03bis;A;pre;1;60.08138626403041;0;a;right;['right'];0.20520019996911287;1;0.599
30;s03bis;A;pre;1;60.08138626403041;96;noise;;['right'];0.9730983999324962;0;1.731
31;s03bis;A;pre;1;60.08138626403041;71;e;left;['left'];0.42688520008232445;1;1.297
32;s03bis;A;pre;1;60.08138626403041;56;e;left;['right'];0.34475269995164126;1;0.755
33;s03bis;A;pre;1;60.08138626403041;33;a;right;['left'];0.2965027999598533;1;0.85
34;s03bis;A;pre;1;60.08138626403041;80;noise;;['right'];0.7505172999808565;0;2.162
35;s03bis;A;pre;1;60.08138626403041;73;e;left;['right'];0.3322749000508338;1;0.867
36;s03bis;A;pre;1;60.08138626403041;58;e;left;['left'];0.381418599979952;1;0.833
37;s03bis;A;pre;1;60.08138626403041;68;e;left;['right'];0.25481610000133514;1;0.711
38;s03bis;A;pre;1;60.08138626403041;41;e;left;['left'];0.3937281999969855;1;2.294
39;s03bis;A;pre;1;60.08138626403041;29;a;right;['right'];0.4023594999453053;1;0.732
40;s03bis;A;pre;1;60.08138626403041;23;a;right;['left'];0.31964580004569143;1;0.66
41;s03bis;A;pre;1;60.08138626403041;17;a;right;['right'];0.48596679989714175;1;1.291
42;s03bis;A;pre;1;60.08138626403041;44;e;left;['left'];0.2933193000499159;1;0.68
43;s03bis;A;pre;1;60.08138626403041;5;a;right;['right'];0.2917975999880582;1;1.471
44;s03bis;A;pre;1;60.08138626403041;57;e;left;['left'];0.24960330000612885;1;1.905
45;s03bis;A;pre;1;60.08138626403041;13;a;right;['right'];0.24576810002326965;1;1.008
46;s03bis;A;pre;1;60.08138626403041;4;a;right;['left'];2.7167898999759927;1;1.395
47;s03bis;A;pre;1;60.08138626403041;98;noise;;['right'];0.5459794999333099;0;0.807
48;s03bis;A;pre;1;60.08138626403041;91;noise;;['right'];0.21865259995684028;0;0.776
49;s03bis;A;pre;1;60.08138626403041;72;e;left;['left'];0.24181259993929416;1;0.821
50;s03bis;A;pre;1;60.08138626403041;49;e;left;['right'];0.19133659999351948;1;1.36
51;s03bis;A;pre;1;60.08138626403041;2;a;right;['left'];0.19988529989495873;1;0.817
52;s03bis;A;pre;1;60.08138626403041;70;e;left;['right'];0.22940650000236928;1;1.451
53;s03bis;A;pre;1;60.08138626403041;82;noise;;['right'];1.0932400999590755;0;1.732
54;s03bis;A;pre;1;60.08138626403041;95;noise;;['right'];0.33112929994240403;0;0.931
55;s03bis;A;pre;1;60.08138626403041;83;noise;;['right'];0.2366271000355482;0;0.826
56;s03bis;A;pre;1;60.08138626403041;14;a;right;['left'];0.2710014999611303;1;1.098
57;s03bis;A;pre;1;60.08138626403041;20;a;right;['right'];0.23688470001798123;1;0.961
58;s03bis;A;pre;1;60.08138626403041;63;e;left;['left'];0.27840259997174144;1;0.695
59;s03bis;A;pre;1;60.08138626403041;37;a;right;['right'];0.5308469999581575;1;0.992
60;s03bis;A;pre;1;60.08138626403041;75;e;left;['left'];0.457367799943313;1;1.714
61;s03bis;A;pre;1;60.08138626403041;54;e;left;['right'];0.49206339998636395;1;1.025
62;s03bis;A;pre;1;60.08138626403041;35;a;right;['right'];0.1796905999071896;1;1.283
63;s03bis;A;pre;1;60.08138626403041;48;e;left;['left'];0.5081313999835402;1;0.746
64;s03bis;A;pre;1;60.08138626403041;36;a;right;['right'];0.3121729999547824;1;0.965
65;s03bis;A;pre;1;60.08138626403041;74;e;left;['left'];0.34458410006482154;1;0.862
66;s03bis;A;pre;1;60.08138626403041;55;e;left;['right'];0.26497809996362776;1;0.842
67;s03bis;A;pre;1;60.08138626403041;9;a;right;['left'];0.3045744999544695;1;1.913
68;s03bis;A;pre;1;60.08138626403041;52;e;left;['right'];0.23730410006828606;1;0.994
69;s03bis;A;pre;1;60.08138626403041;43;e;left;['left'];0.3327378999674693;1;0.769
70;s03bis;A;pre;1;60.08138626403041;79;e;left;['right'];0.2890328000066802;1;0.721
71;s03bis;A;pre;1;60.08138626403041;64;e;left;['left'];0.3818400999298319;1;0.934
72;s03bis;A;pre;1;60.08138626403041;51;e;left;['right'];0.16484750004019588;1;0.825
73;s03bis;A;pre;1;60.08138626403041;87;noise;;['right'];1.5520511999493465;0;2.277
74;s03bis;A;pre;1;60.08138626403041;77;e;left;['right'];0.38323969999328256;1;0.94
75;s03bis;A;pre;1;60.08138626403041;32;a;right;['left'];0.2916896000970155;1;0.682
76;s03bis;A;pre;1;60.08138626403041;89;noise;;['right'];0.29504240001551807;0;1.353
77;s03bis;A;pre;1;60.08138626403041;85;noise;;['right'];0.30791380000300705;0;0.97
78;s03bis;A;pre;1;60.08138626403041;66;e;left;['left'];0.26345069997478276;1;0.775
79;s03bis;A;pre;1;60.08138626403041;60;e;left;['right'];0.18487400002777576;1;0.885
80;s03bis;A;pre;1;60.08138626403041;94;noise;;['right'];0.6659728999948129;0;0.944
81;s03bis;A;pre;1;60.08138626403041;50;e;left;['right'];0.46750339993741363;1;1.323
82;s03bis;A;pre;1;60.08138626403041;11;a;right;['left'];0.29013950005173683;1;0.763
