wSMI_1,wSMI_2,wSMI_4,wSMI_8,p_e_1,p_e_2,p_e_4,p_e_8,k,se,msf,sef90,sef95,b,b_n,g,g_n,ft,ft_n,t,t_n,d,d_n,a_n,a,CNV,P1,P3a,P3b
0.0375362362740708,0.03686398422972288,0.04794080007250138,0.038506999478914186,0.03264108070619095,0.03249278378778864,0.03454903833123178,0.03335277597465914,0.027880665438956537,0.025668302558196483,0.02778993244954008,0.027113592548240462,0.027483496621865628,0.03626247015632238,0.026806340819689335,0.03636326174088311,0.02940405746664098,0.044913782069210234,0.03371762048182316,0.029206391650134784,0.031296575873749,0.027537539650454173,0.02907895838821442,0.03714278437984684,0.03594473730843066,0.036882192366647595,0.04190875371959317,0.040174245934329535,0.05354059952215171
0.03679518710191435,0.03508129499707986,0.046909075614202086,0.03903451402923287,0.032259990342620636,0.03292472987355423,0.034378886470959956,0.03453333118971998,0.028138533774089362,0.026018969765503996,0.02819256393631549,0.026997671324143047,0.02663494806141766,0.036105737934914874,0.028090625103550988,0.03623785244322019,0.030463430213005384,0.04379197983787283,0.03383355187895032,0.028506809730488896,0.031516913306924375,0.027418324784427163,0.029404835892491536,0.03756969797337691,0.03568050274020647,0.03860977325419396,0.042427398076988296,0.03920097003251308,0.05324190031612116
0.036777162486881856,0.03672633893737649,0.04718873297733438,0.03915847544932788,0.0325600670832308,0.03284316630225219,0.03472549536714907,0.03445592237218727,0.028201032388929174,0.025565823676645293,0.02793140300301647,0.02702831410245047,0.026987527476972317,0.03528210458237692,0.027853168052395683,0.03620124926131448,0.02876465116886005,0.043837693192546365,0.03263053685457614,0.028937298972938775,0.03234338680357898,0.026570338730620202,0.028958617743152993,0.038059346340014684,0.03599268759297934,0.03898125100974375,0.04143155154582405,0.0397650764722049,0.05424158005311901
0.03677792119910197,0.036107086432011375,0.04730010155347662,0.03820051936445054,0.03240457187185054,0.03299096723157165,0.03432139436374493,0.03432516397280978,0.027306788009171933,0.025300429949369402,0.02837072923013349,0.026969713274062095,0.02713518335526944,0.03551502740417974,0.027671555479488314,0.03647128833235225,0.030050763816276672,0.043451883844727604,0.034649362038888395,0.028724429550170655,0.03238592731095481,0.02664336291313941,0.02849463283113999,0.038611481384139376,0.03581752461010946,0.038423782584768446,0.041454590259839906,0.03949712621520372,0.054626691617597437
0.03680815809648726,0.03597647033138816,0.04575397330399198,0.038859739063008915,0.03208438514544269,0.03273260571121515,0.034672319887787774,0.034263351949909794,0.02764524080045297,0.0266586359996834,0.0273813340451375,0.027907654332936023,0.026902813799019626,0.035569190523475104,0.027519449253575728,0.03497125196056807,0.029470850500233993,0.044392310900098396,0.033818365779418894,0.02747212061510167,0.0321368881820127,0.027215677283187946,0.029066492394853326,0.03848894746944824,0.03590943301868003,0.038858859811067605,0.04241951876266538,0.04045075075716211,0.05459321032198956
0.036309525838769965,0.03702889888182119,0.04757735091120953,0.03765473717084514,0.03217809868458107,0.033511705408244406,0.03343003976660114,0.034056303221346826,0.027730941033060185,0.02651215615995482,0.02791562635456995,0.026627774651390802,0.027103018436300252,0.03529617479397812,0.028048263556957758,0.03635414429447061,0.02976006998814177,0.04465717580837305,0.03413594595652107,0.027766533615365026,0.031522842500830914,0.026619356539821847,0.02884181889342871,0.038520911899730045,0.036226407891890605,0.03821079598443026,0.04191577900909044,0.04100064556557854,0.053486957182695936
0.0370699955843411,0.03604506750106202,0.046763642985839404,0.039025398993219065,0.032148793824444744,0.0323787326385492,0.034372397395630215,0.03378212931015062,0.028494018442338443,0.025397678996828276,0.02866018616615053,0.026690488512464312,0.02699605141550534,0.03515882358954786,0.028529904823021257,0.036625560968182216,0.03009932604852732,0.04424950304338093,0.03445937426815182,0.028397482815441678,0.03209604147473473,0.02661470253735109,0.028868164241484928,0.03823418694404543,0.036528024949143055,0.03804377942225167,0.04130565453460448,0.039318674507408335,0.05364621406619998
0.03662886319685238,0.03592460773295771,0.04714862039401818,0.038516456191858894,0.03295827395134794,0.032631675677003424,0.03450607983830868,0.034392888674942945,0.02800308812769093,0.026724733085328422,0.028521393613124134,0.02673766531265055,0.02676705719591929,0.034218346404204555,0.028159641755957327,0.03598017160554158,0.028995126602256237,0.04471829526892761,0.03398575335250674,0.028456003449504018,0.03188051052726808,0.0271202811411627,0.0289360662219205,0.0381382890201625,0.03634897675574635,0.03820219983746759,0.04158877908415568,0.04015610761671588,0.05365404836449922
0.03762485723549893,0.035995538577510186,0.04675089568102866,0.03798161147210283,0.03226201856688932,0.032917325683497436,0.03358549581623407,0.03370509889172981,0.028284239224359797,0.02621932590211612,0.02841192680500529,0.026801276144956504,0.026975739577826313,0.03465183325642119,0.0279916874075025,0.03741017190629239,0.029789038760591014,0.04521047698266388,0.03299920327311342,0.02874142488071819,0.0316683292265584,0.026670663541916516,0.029108945685462066,0.03933075372545068,0.0357460163949716,0.0379957199937747,0.04091760818918355,0.03910970769082517,0.05514306950579943
0.03665025919830943,0.03687497815414874,0.0472849927783061,0.038494329460507036,0.03153992571426267,0.033126980951703446,0.03439079691814309,0.03408069782499393,0.02879971008232108,0.025515267960577948,0.027886091352626673,0.02710101243001713,0.02722957778070596,0.035932762683340225,0.028242509464277775,0.03621390163452914,0.029212407034982707,0.04354888486800088,0.033658858023492465,0.029016201747645114,0.032420157265937624,0.026830505099064463,0.029007385399928632,0.03797510088506208,0.03702495118824121,0.03696403717406136,0.04061244648113456,0.04014169342664629,0.05422357701703225
