;volume;subj_response;obj_response
0;-14.0;0;0
1;-14.25;1;1
2;-14.0;1;1
3;-13.75;1;1
4;-13.5;1;1
5;-13.25;1;0
6;-13.5;1;1
7;-13.25;1;1
8;-13.0;1;1
9;-12.75;1;1
10;-12.5;1;1
11;-12.25;0;1
12;-12.5;1;1
13;-12.25;1;0
14;-12.5;1;1
15;-12.25;1;1
16;-12.0;1;1
17;-11.75;1;1
18;-11.5;1;1
19;-11.25;1;1
20;-11.0;1;1
21;-10.75;0;0
22;-11.0;1;1
23;-10.75;1;1
24;-10.5;1;1
25;-10.25;1;1
26;-10.0;1;1
27;-9.75;1;1
28;-9.5;1;0
29;-9.75;1;1
30;-9.5;1;1
31;-9.25;1;1
32;-9.0;1;1
33;-8.75;1;1
34;-8.5;1;1
35;-8.25;1;0
36;-8.5;0;0
37;-8.75;1;1
38;-8.5;1;1
39;-8.25;1;1
40;-8.0;1;1
41;-7.75;1;1
42;-7.5;1;1
43;-7.25;1;1
44;-7.0;0;0
45;-7.25;1;1
46;-7.0;1;0
47;-7.25;1;1
48;-7.0;1;0
49;-7.25;1;1
50;-7.0;0;0
51;-7.25;1;1
52;-7.0;1;1
53;-6.75;1;1
54;-6.5;1;1
55;-6.25;1;1
56;-6.0;1;1
57;-5.75;1;1
58;-5.5;1;1
59;-5.25;1;1
60;-5.0;0;0
61;-5.25;1;1
62;-5.0;1;1
63;-4.75;1;1
64;-4.5;1;1
65;-4.25;1;1
66;-4.0;1;1
67;-3.75;1;1
68;-3.5;1;1
69;-3.25;1;1
70;-3.0;1;1
71;-2.75;1;0
72;-3.0;1;0
73;-3.25;1;1
74;-3.0;1;1
75;-2.75;1;1
76;-2.5;1;1
77;-2.25;1;1
78;-2.0;1;1
79;-1.75;1;1
80;-1.5;1;1
81;-1.25;1;1
82;-1.0;1;1
83;-0.75;1;1
84;-0.5;1;1
85;-0.25;1;0
86;-0.5;1;1
87;-0.25;1;1
88;0.0;1;1
89;0.25;1;1
90;0.5;0;0
91;0.25;1;0
92;0.0;1;1
93;0.25;1;1
94;0.5;1;1
95;0.75;1;1
96;1.0;1;0
97;0.75;1;1
98;1.0;1;1
99;1.25;1;1
100;1.5;1;1
101;1.75;1;1
102;2.0;1;0
103;1.75;1;0
104;1.5;1;1
105;1.75;1;0
106;1.5;0;0
107;1.25;1;0
108;1.0;1;0
109;0.75;1;1
110;1.0;1;1
111;1.25;1;1
112;1.5;0;0
113;1.25;1;0
114;1.0;1;0
115;0.75;1;0
116;0.5;0;1
117;0.25;1;1
118;0.5;1;0
119;0.25;1;0
120;0.0;1;0
121;-0.25;1;0
122;-0.5;1;0
123;-0.75;1;1
124;-0.5;1;1
125;-0.25;1;1
126;0.0;1;0
127;-0.25;1;0
128;-0.5;1;0
129;-0.75;1;0
130;-1.0;1;1
131;-0.75;0;0
132;-1.0;1;1
133;-0.75;1;1
134;-0.5;1;0
135;-0.75;1;1
136;-0.5;1;0
137;-0.75;1;0
138;-1.0;1;1
139;-0.75;1;0
140;-1.0;1;1
141;-0.75;1;1
142;-0.5;1;1
143;-0.25;1;0
144;-0.5;1;1
145;-0.25;1;1
146;0.0;1;1
147;0.25;1;1
148;0.5;1;1
149;0.75;1;1
150;1.0;1;0
151;0.75;1;1
152;1.0;1;0
153;0.75;1;1
154;1.0;1;0
155;0.75;0;1
156;0.5;1;1
157;0.75;1;0
158;0.5;1;0
159;0.25;1;0
160;0.0;1;0
161;-0.25;1;1
162;0.0;0;0
163;-0.25;1;1
164;0.0;1;0
165;-0.25;1;1
166;0.0;1;0
167;-0.25;1;1
168;0.0;1;1
169;0.25;1;1
170;0.5;1;1
171;0.75;1;1
172;1.0;0;0
173;0.75;0;0
174;0.5;1;1
175;0.75;1;1
176;1.0;1;0
177;0.75;0;1
178;0.5;1;1
179;0.75;1;0
180;0.5;1;1
181;0.75;1;0
182;0.5;1;1
183;0.75;1;1
184;1.0;1;0
185;0.75;1;1
186;1.0;1;1
187;1.25;1;0
188;1.0;1;1
189;1.25;1;1
190;1.5;1;1
191;1.75;1;0
192;1.5;1;0
193;1.25;1;1
194;1.5;1;1
195;1.75;1;0
196;1.5;1;1
197;1.75;0;0
198;1.5;1;1
199;1.75;0;1
