;volume;subj_response;obj_response
0;-14.0;1;1
1;-13.75;1;0
2;-14.0;1;1
3;-13.75;1;1
4;-13.5;1;1
5;-13.25;1;1
6;-13.0;1;1
7;-12.75;0;0
8;-13.0;1;1
9;-12.75;1;1
10;-12.5;1;1
11;-12.25;1;1
12;-12.0;1;1
13;-11.75;1;0
14;-12.0;1;1
15;-11.75;1;1
16;-11.5;1;1
17;-11.25;1;1
18;-11.0;1;1
19;-10.75;1;1
20;-10.5;1;1
21;-10.25;1;1
22;-10.0;1;1
23;-9.75;1;1
24;-9.5;1;0
25;-9.75;0;0
26;-10.0;1;1
27;-9.75;1;1
28;-9.5;1;1
29;-9.25;1;0
30;-9.5;1;1
31;-9.25;1;0
32;-9.5;1;1
33;-9.25;1;1
34;-9.0;1;0
35;-9.25;1;1
36;-9.0;1;1
37;-8.75;1;1
38;-8.5;1;1
39;-8.25;1;1
40;-8.0;1;1
41;-7.75;1;1
42;-7.5;1;1
43;-7.25;1;1
44;-7.0;1;1
45;-6.75;1;1
46;-6.5;1;1
47;-6.25;1;1
48;-6.0;1;0
49;-6.25;1;1
50;-6.0;1;1
51;-5.75;1;1
52;-5.5;0;0
53;-5.75;1;0
54;-6.0;1;1
55;-5.75;1;1
56;-5.5;1;0
57;-5.75;1;0
58;-6.0;1;1
59;-5.75;1;1
60;-5.5;1;1
61;-5.25;1;1
62;-5.0;1;1
63;-4.75;1;1
64;-4.5;1;1
65;-4.25;1;0
66;-4.5;0;0
67;-4.75;1;1
68;-4.5;1;1
69;-4.25;1;0
70;-4.5;1;1
71;-4.25;1;1
72;-4.0;1;1
73;-3.75;1;0
74;-4.0;1;1
75;-3.75;1;0
76;-4.0;1;0
77;-4.25;1;1
78;-4.0;1;1
79;-3.75;1;1
80;-3.5;1;1
81;-3.25;1;0
82;-3.5;1;1
83;-3.25;1;1
84;-3.0;1;1
85;-2.75;1;1
86;-2.5;0;0
87;-2.75;1;1
88;-2.5;1;1
89;-2.25;1;1
90;-2.0;1;0
91;-2.25;1;1
92;-2.0;1;1
93;-1.75;1;0
94;-2.0;1;0
95;-2.25;1;0
96;-2.5;1;1
97;-2.25;1;0
98;-2.5;1;1
99;-2.25;1;1
100;-2.0;1;1
101;-1.75;0;0
102;-2.0;0;0
103;-2.25;1;1
104;-2.0;1;1
105;-1.75;1;1
106;-1.5;0;0
107;-1.75;1;0
108;-2.0;1;1
109;-1.75;1;0
110;-2.0;1;1
111;-1.75;1;0
112;-2.0;1;1
113;-1.75;1;0
114;-2.0;1;0
115;-2.25;1;1
116;-2.0;1;1
117;-1.75;1;1
118;-1.5;1;0
119;-1.75;1;1
120;-1.5;1;1
121;-1.25;1;1
122;-1.0;1;0
123;-1.25;1;1
124;-1.0;1;1
125;-0.75;1;0
126;-1.0;1;0
127;-1.25;1;1
128;-1.0;1;0
129;-1.25;1;1
130;-1.0;1;1
131;-0.75;0;0
132;-1.0;1;1
133;-0.75;1;1
134;-0.5;1;1
135;-0.25;1;1
136;0.0;1;1
137;0.25;1;1
138;0.5;0;1
139;0.25;1;1
140;0.5;1;1
141;0.75;1;1
142;1.0;0;0
143;0.75;1;1
144;1.0;1;1
145;1.25;1;0
146;1.0;0;1
147;0.75;1;1
148;1.0;1;1
149;1.25;1;0
150;1.0;0;0
151;0.75;0;1
152;0.5;1;1
153;0.75;1;1
154;1.0;1;1
155;1.25;0;0
156;1.0;1;1
157;1.25;0;1
158;1.0;1;0
159;0.75;1;1
160;1.0;1;0
161;0.75;0;1
162;0.5;1;0
163;0.25;1;1
164;0.5;1;1
165;0.75;1;1
166;1.0;1;1
167;1.25;1;1
168;1.5;1;0
169;1.25;1;0
170;1.0;1;0
171;0.75;1;1
172;1.0;0;1
173;0.75;1;1
174;1.0;1;1
175;1.25;1;1
176;1.5;0;1
177;1.25;0;1
178;1.0;0;0
179;0.75;0;0
180;0.5;1;1
181;0.75;1;1
182;1.0;0;0
183;0.75;1;0
184;0.5;1;0
185;0.25;1;1
186;0.5;1;0
187;0.25;1;0
188;0.0;1;1
189;0.25;1;1
190;0.5;1;1
191;0.75;1;1
192;1.0;0;1
193;0.75;0;1
194;0.5;1;0
195;0.25;1;0
196;0.0;1;1
197;0.25;1;1
198;0.5;0;1
199;0.25;0;1
